TeacherId;Name;LastName;Address;PostalCode;City;Phone;Email;Active;Genre;DateOfBirth;IdentificationNumber;ExpirationDateIn;TaxIdentificationNumber;Nationality;Birthplace;Photo;Courses;CoursesCount;TotalWorkHoursLoad
1;Ana;Ribeiro;159 Joe Valley Suite 782;65326;West Vanessa;070-453-8391;moorejames@example.com;True;Female;01/01/0001;56871190;01/01/0001;6280398466;German;Lisbon;C:\Users\user\Documents\photos\1.jpg0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;0;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
2;Bruno;Ferreira;99154 Smith Locks;11129;Burtonborough;004.692.6673x2084;scott47@example.com;True;Female;01/01/0001;20393446;01/01/0001;98288764853;German;Lisbon;C:\Users\user\Documents\photos\2.jpg0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;0;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
3;Catarina;Palma;5103 Hill Highway;38588;Melvinton;001-381-194-7797x186;shane19@example.net;True;Male;01/01/0001;96651936;01/01/0001;32673449095;German;Rome;C:\Users\user\Documents\photos\3.jpg0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;0;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
4;Claudia;Passarinho;21636 Jacob Burg Suite 151;74804;Kathyborough;(742)457-4796x662;walkersandra@example.org;False;Female;01/01/0001;83768980;01/01/0001;6015557799;French;Berlin;C:\Users\user\Documents\photos\4.jpg0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;0;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
5;Dário;Dias;6423 Taylor Oval Suite 995;38702;Sandersport;152.965.2097x3064;cyoung@example.com;False;Female;01/01/0001;3761333;01/01/0001;74426896039;French;Madrid;C:\Users\user\Documents\photos\5.jpg0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;0;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
6;Diogo;Alves;818 Abbott Burgs Apt. 879;68024;Port Robertside;324.018.6096x9905;jasonthompson@example.com;False;Male;01/01/0001;84429162;01/01/0001;5806941693;Portuguese;Berlin;C:\Users\user\Documents\photos\6.jpg0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;0;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
7;Diogo;Santana;61735 Jessica Station Apt. 930;88288;Hollandton;406.525.9000x31147;russelllaurie@example.com;False;Female;01/01/0001;21866316;01/01/0001;84139219950;German;Paris;C:\Users\user\Documents\photos\7.jpg0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;0;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
8;Duarte;Marques;91870 Henry Bypass;84397;West Julie;+1-326-065-8959x09290;tylerwiggins@example.com;True;Male;01/01/0001;15372102;01/01/0001;31358177019;German;Paris;C:\Users\user\Documents\photos\8.jpg0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;0;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
9;Filipe;Baptista;2102 Owens Pine;87782;East Ashley;-10720;estradajennifer@example.com;True;Female;01/01/0001;71318755;01/01/0001;92341603030;German;Paris;C:\Users\user\Documents\photos\9.jpg0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;0;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
10;Joel;Santo Rangel;495 Zachary Square Apt. 770;5946;West Seanland;597-118-0309x8737;hollymunoz@example.com;True;Male;01/01/0001;83532618;01/01/0001;6408883316;Portuguese;Madrid;C:\Users\user\Documents\photos\10.jpg0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;0;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
